0.4486910653725356
0	5.80293640766E7	1150.4778	478.878	1225.0795
1	5.87741869981E7	894.4022	374.8991	954.3619
2	1.406973284207E8	827.0724	291.3409	840.9123
3	2.054315006678E8	838.1511	385.931	920.3625
4	1.785043359523E8	999.9792	367.008	1027.8099
5	1.685646518639E8	651.188	219.9342	654.9791
6	1.663005437784E8	839.5027	384.665	920.4268
7	1.371585467722E8	550.71	200.8699	565.0977
8	1.836117833193E8	1187.4501	473.0303	1248.4815
9	1.53430077017E8	909.3151	339.285	938.7971
10	6.42989573434E7	989.4578	354.7699	1010.6975
11	7.30663412287E7	985.451	367.751	1017.4451
12	1.243483024483E8	988.9926	430.736	1067.4651
13	9.62761866712E7	1028.3219	465.2736	1123.0041
14	1.573556677788E8	868.6597	428.9087	975.6153
15	8.80254855539E7	847.7166	347.5076	898.6648
16	1.41809638397E8	995.476	442.8554	1081.4522
17	1.221074488481E8	1182.7306	410.5477	1197.9536
18	1.967882542682E8	939.0869	414.9793	1018.0949
19	1.711708689146E8	727.6718	353.6636	813.0341
